playerA_hand,playerA_ht,playerA_ioc,playerB_hand,playerB_ht,playerB_ioc,playerA_total_aces,playerA_total_df,playerB_total_aces,playerB_total_df,playerA_is_head,playerB_is_head,ranking_diff,age_diff
R,190,RUS,R,190,ESP,72,61,14,7,false,false,53,1
R,193,RUS,R,183,SWE,160,33,28,14,false,false,46,8
R,183,SVK,R,190,RUS,79,38,77,69,true,false,17,4
R,193,RUS,R,183,SVK,174,34,84,42,false,false,19,2
L,180,USA,R,190,SUI,13,3,12,11,false,false,315,2
R,178,CZE,R,188,GER,11,4,34,14,false,true,11,2
R,185,THA,R,178,ITA,23,18,1,0,false,false,80,9
R,185,BUL,R,183,CAN,40,20,20,8,false,false,1,2
R,185,BRA,R,180,USA,10,13,7,3,false,false,28,13
R,188,ITA,R,185,FRA,16,11,12,2,false,false,20,1
R,185,ISR,R,180,AUS,10,11,5,3,false,false,52,2
R,180,ITA,L,193,USA,9,5,16,7,false,false,96,6
R,185,GER,R,190,BAH,9,0,2,4,false,false,96,5
R,183,CHI,R,185,ARG,47,21,1,1,false,false,27,5
R,178,ARG,R,196,USA,41,26,57,27,false,false,32,7
L,188,AUS,R,185,ESP,4,3,11,12,false,false,9,12
R,201,GER,R,193,GER,35,26,0,4,false,false,9,2
R,173,PHI,U,190,USA,7,5,1,5,false,false,135,10
R,180,USA,R,178,USA,5,1,14,15,false,false,110,11
L,185,USA,R,193,SWE,17,2,6,7,false,false,474,4
R,196,AUS,L,180,USA,45,23,26,4,false,false,403,4
R,193,SWE,R,178,CZE,20,3,14,6,false,false,34,5
R,180,GER,R,185,THA,45,20,31,23,false,false,40,3
R,190,USA,R,185,BUL,100,31,42,20,false,false,50,6
R,185,BRA,R,183,USA,13,16,3,7,false,false,88,3
R,196,AUS,R,188,ITA,54,18,23,12,false,false,43,2
R,180,ARM,R,185,ISR,18,10,11,11,false,false,117,5
R,180,ITA,R,185,USA,19,11,5,2,false,false,59,2
R,175,USA,R,185,GER,36,14,17,3,false,false,88,4
R,188,ARG,R,183,CHI,23,17,51,23,false,false,35,7
R,175,ZIM,R,178,ARG,10,7,45,28,false,false,51,0
R,188,USA,L,188,AUS,41,35,7,6,false,false,88,7
R,185,RSA,R,201,GER,30,11,36,36,false,false,63,5
R,173,PHI,R,196,BLR,8,5,67,17,false,false,78,1
R,185,SWE,R,180,USA,17,6,5,1,false,false,139,7
R,188,GER,L,185,USA,21,13,24,4,false,false,575,5
R,193,SWE,R,196,AUS,20,3,45,23,false,false,62,6
R,180,GER,R,190,USA,49,23,115,35,false,false,1,1
R,185,BRA,R,196,AUS,17,16,64,23,false,false,48,7
R,180,ARM,R,180,ITA,25,10,26,15,false,false,39,1
R,175,USA,R,188,ARG,42,14,23,20,false,false,21,0
R,175,ZIM,R,188,USA,18,9,50,41,false,false,39,3
R,185,RSA,R,173,PHI,36,15,13,9,false,false,89,5
R,188,GER,R,185,SWE,26,19,24,6,false,false,44,6
R,193,SWE,R,180,GER,35,5,54,26,false,false,22,6
R,185,BRA,R,180,ARM,20,19,28,13,false,false,60,4
R,175,ZIM,R,175,USA,24,10,46,14,false,false,33,3
R,188,GER,R,185,RSA,33,24,46,17,false,false,25,7
R,193,SWE,R,185,BRA,41,9,27,21,false,false,40,7
R,175,ZIM,R,188,GER,33,10,44,30,false,false,55,9
R,193,SWE,R,175,ZIM,57,12,35,12,false,false,2,1
L,175,MAR,R,180,USA,43,24,27,23,false,false,33,3
R,183,CZE,R,180,ESP,3,11,2,2,false,false,28,4
R,196,BLR,R,188,USA,70,18,10,17,false,false,161,4
L,193,GBR,R,185,USA,60,30,2,6,false,false,210,6
R,185,FRA,R,188,FRA,8,3,70,48,false,false,19,7
R,193,RUS,L,180,BRA,182,34,3,16,false,false,2,8
R,185,FRA,R,185,USA,20,14,13,5,false,false,5,8
R,188,ECU,R,183,SWE,46,13,30,19,false,false,57,4
R,178,FRA,R,183,GER,30,14,52,26,false,false,29,5
R,183,SVK,R,193,MAR,92,45,26,9,false,false,5,6
R,180,ESP,R,188,SVK,35,9,27,24,false,false,12,1
R,185,AUS,R,183,RSA,41,9,4,2,false,false,142,0
R,185,GBR,R,185,MAR,32,29,21,20,false,false,16,1
R,175,FRA,R,190,CZE,22,8,17,19,false,false,22,3
R,175,USA,R,183,ESP,52,15,25,38,false,false,16,8
R,188,SWE,L,183,ARG,36,19,17,30,false,false,32,1
R,190,BRA,R,196,USA,17,6,70,31,false,false,96,0
R,188,GER,R,190,FRA,52,33,34,15,false,false,122,3
L,183,ESP,R,180,AUS,7,8,47,34,false,false,33,8
R,196,AUS,R,188,USA,57,26,55,43,false,false,12,4
R,180,ESP,L,175,AUT,24,11,29,25,false,false,7,1
L,193,CRO,R,178,USA,60,26,20,16,false,false,13,5
R,193,NED,R,188,SVK,52,28,16,13,false,false,56,2
R,190,RUS,R,183,USA,80,69,8,10,false,false,24,1
L,175,CHI,R,190,CZE,35,25,15,10,false,false,37,4
R,183,ARG,R,180,ESP,46,19,1,6,false,false,11,1
R,180,SWE,R,173,FRA,87,30,58,21,false,false,2,2
R,190,SWE,L,188,FRA,93,47,44,25,false,false,38,0
R,180,AUS,R,190,ESP,87,26,31,31,false,false,31,4
R,175,ZIM,R,175,ESP,39,12,11,13,false,false,3,9
R,185,RSA,R,190,USA,59,20,126,40,false,false,40,6
R,185,USA,R,193,UKR,111,38,16,1,false,false,30,3
L,175,MAR,R,183,CZE,47,25,3,14,false,false,17,3
R,196,BLR,L,193,GBR,72,20,65,35,false,false,50,4
R,185,FRA,R,193,RUS,12,4,185,36,false,false,1,3
R,188,ECU,R,185,FRA,46,21,21,17,false,false,45,2
R,178,FRA,R,183,SVK,39,18,101,50,false,false,12,5
R,180,ESP,R,185,AUS,41,13,46,11,false,false,11,2
R,175,FRA,R,185,GBR,23,8,38,34,false,false,10,4
R,188,SWE,R,175,USA,41,19,53,17,false,false,35,5
R,188,GER,R,190,BRA,58,38,24,6,false,false,16,2
R,196,AUS,L,183,ESP,68,31,9,9,false,false,7,8
R,180,ESP,L,193,CRO,30,16,78,34,false,false,57,4
R,193,NED,R,190,RUS,56,32,83,73,false,false,61,3
R,183,ARG,L,175,CHI,52,24,41,28,false,false,21,2
R,190,SWE,R,180,SWE,100,50,92,31,false,false,45,2
R,175,ZIM,R,180,AUS,43,13,92,28,false,false,50,11
R,185,USA,R,185,RSA,119,50,69,25,false,false,44,0
L,175,MAR,R,196,BLR,49,27,76,25,false,false,34,4
R,188,ECU,R,185,FRA,49,25,19,6,false,false,22,0
R,180,ESP,R,178,FRA,42,14,42,20,false,false,7,2
R,188,SWE,R,175,FRA,46,20,29,11,false,false,14,2
R,196,AUS,R,188,GER,72,35,62,39,false,false,13,2
R,193,NED,R,180,ESP,60,34,32,16,false,false,51,1
R,190,SWE,R,183,ARG,108,59,58,29,false,false,18,4
R,185,USA,R,175,ZIM,143,55,47,16,false,false,60,2
R,188,ECU,L,175,MAR,53,25,49,30,false,false,26,3
R,180,ESP,R,188,SWE,48,16,49,24,false,false,21,2
R,196,AUS,R,193,NED,80,41,66,39,false,false,29,0
R,190,SWE,R,185,USA,118,63,153,65,false,false,8,2
R,180,ESP,R,188,ECU,52,17,56,25,false,false,18,2
R,190,SWE,R,196,AUS,130,68,104,46,false,false,25,3
R,180,ESP,R,190,SWE,62,18,138,75,false,false,16,1
R,190,RUS,R,190,SWE,88,76,7,1,false,false,119,3
R,185,FRA,R,185,GER,27,7,19,23,false,false,50,3
R,190,BEL,L,193,CRO,5,4,94,39,false,false,219,1
L,193,GBR,R,188,SVK,74,41,33,31,false,false,16,1
R,183,SWE,R,188,ECU,32,19,61,28,false,true,60,4
R,183,SVK,R,193,RUS,120,52,198,38,false,true,3,2
R,178,FRA,R,185,MAR,45,22,26,20,false,false,7,1
R,185,GBR,R,175,ESP,44,37,11,14,false,false,40,4
L,183,NED,R,190,SWE,30,25,144,82,false,false,86,4
L,188,FRA,R,183,ARG,48,27,58,33,false,false,16,5
R,196,NED,R,183,ROU,30,8,41,27,false,false,47,5
R,188,SWE,R,193,NED,54,24,71,46,false,false,45,0
R,188,FRA,R,185,ROU,77,51,28,11,false,false,66,5
R,175,FRA,R,193,UKR,38,11,22,2,false,false,17,4
R,190,CZE,R,180,SWE,23,20,104,40,false,false,1,0
